Year,Total_Population,Men_pop,Women_Pop,Total_Births,Men_births,Women_births,Death_rate,Men_DeathRate,Women_DeathRate,Marriage index,Divorce_rate
2000,"98,785,000","48,558,034",50341811,"2,798,339","1,398,877","1,398,703","437,667","244,302","193,253","707,422","52,358"
2001,"100,105,000","49,208,752",51089400,"2,767,610","1,390,066","1,377,151","443,127","245,998","196,789","665,434","57,370"
2002,"101,494,000","49,841,883",51842881,"2,699,084","1,345,504","1,350,142","459,687","255,522","203,846","616,654","60,641"
2003,"102,890,000","50,475,626",52605394,"2,655,894","1,307,080","1,348,354",472140,261680,"210,096","584,142","64,248"
2004,"104,272,000","51,134,956",53379978,"2,625,056","1,302,411","1,322,074","473,417","261,919","211,294","600,563","67,575"
2005,"105,669,000","51,836,847",54168352,"2,567,906","1,284,304","1,283,009",495240,"273,126","221,968","595,713","70,184"
2006,"107,155,000","52,588,297",54971858,"2,505,939","1,254,600","1,250,937","494,471","274,091",220240,"586,978","72,396"
2007,"108,745,000","53,381,477",55789026,"2,655,083","1,330,390","1,324,087",514420,284910,"229,336","595,209","77,255"
2008,"110,405,000","54,200,255",56615017,"2,636,110","1,320,177","1,315,435",539530,"300,837","238,523","589,352","81,851"
2009,"112,095,000","55,020,935",57442951,"2,577,214","1,296,770","1,279,883","564,673","316,058","248,371","558,913","84,302"
2010,"113,749,000","55,825,784",58267177,"2,643,908","1,326,612","1,317,023","592,018","332,027","259,669","568,632","86,042"
2011,"115,367,000","56,609,424",59086044,"2,586,287","1,300,026","1,285,962","590,693","332,646","257,468","570,954","91,285"
2012,"116,936,000","57,375,324",59898832,"2,498,880","1,262,938","1,235,719","602,354","338,377",263440,"585,434","99,509"
2013,"118,454,000","58,125,266",60701892,"2,478,889","1,255,206","1,223,530","623,599","347,981","275,231","583,264","108,727"
2014,"119,936,000","58,863,834",61491303,"2,463,420","1,247,657","1,215,628","633,641","352,037","281,279","577,713","113,478"
2015,"121,348,000","59,594,171",62264080,"2,353,596","1,192,795","1,160,760","655,688","363,732","291,637","558,022","123,883"
2016,"122,715,000","60,315,359",63018020,"2,293,708","1,162,171","1,131,493","685,766","382,745","302,599","543,749","139,807"
2017,"124,042,000","61,024,503",63752823,"2,234,039","1,134,349","1,099,674","703,047","394,322","308,281","528,678","147,581"
2018,"125,328,000","61,720,819",64469963,"2,162,535","1,098,674","1,063,826","722,611","407,736","314,499","501,298","156,556"
2019,"126,578,000","62,403,393",65172136,"2,092,214","1,061,978","1,030,194","747,784","422,185","325,126","504,923","160,107"
2020,"127,792,000","63,071,486",65861267,"1,629,211","828,944","800,264","1,086,743","639,277","446,709","335,563","92,739"
2021,"130,262,220","63,724,708","66,537,512","1,912,178",,,"1,122,249",,,"453,085","149,675"
