AÑO,RAMO_ID,RAMO,DENOMINACION, MONTO ,FACTOR, VALOR_REAL 
2013,4,Gobernacion,Coordinación del Sistema Nacional de Protección Civil,"$202,098,298.00 ",1.08598,"$186,097,624.30 "
2013,6,Hacienda y Credito Publico,Manejo y Conservación de Recursos Naturales en Zonas Indígenas,"$46,200,000.00 ",1.08598,"$42,542,219.93 "
2013,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de Prevencion y Manejo de Riesgos,"$2,500,000,000.00 ",1.08598,"$2,302,068,178.00 "
2013,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de Sustentabilidad de los Recursos Naturales,"$8,230,000,000.00 ",1.08598,"$7,578,408,442.00 "
2013,9,Comunicaciones y Transportes,Reconstrucción de carreteras,"$1,068,600,000.00 ",1.08598,"$983,996,022.00 "
2013,12,Salud,Vigilancia epidemiologica,"$634,173,187.00 ",1.08598,"$583,963,965.30 "
2013,13,Marina,Seguridad a la Navegacion y Proteccion al Medio Ambiente Marino,"$200,819,326.00 ",1.08598,"$184,919,912.00 "
2013,16,Medio Ambiente y Recursos Naturales,Investigacion cientifica y tecnologica,"$515,186,915.00 ",1.08598,"$474,398,161.10 "
2013,16,Medio Ambiente y Recursos Naturales,ProÁrbol.- Capacitación Ambiental y Desarrollo Sustentable,"$2,101,714,010.00 ",1.08598,"$1,935,315,577.00 "
2013,16,Medio Ambiente y Recursos Naturales,Consolidar el Sistema Nacional de Areas Naturales Protegidas,"$253,185,840.00 ",1.08598,"$233,140,426.20 "
2013,16,Medio Ambiente y Recursos Naturales,Programas Hidricos Integrales,"$1,481,870,889.00 ",1.08598,"$1,364,547,127.00 "
2013,16,Medio Ambiente y Recursos Naturales,Programa de Inversion en Infraestructura Social y de Proteccion Ambiental,"$551,507,623.00 ",1.08598,"$507,843,259.50 "
2013,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo administrativo,"$8,432,389.00 ",1.08598,"$7,764,773.75 "
2013,16,Medio Ambiente y Recursos Naturales,Programa para atender desastres naturales,"$193,032,700.00 ",1.08598,"$177,749,774.40 "
2013,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo a la funcion publica y buen gobierno,"$2,030,534.00 ",1.08598,"$1,869,771.08 "
2013,16,Medio Ambiente y Recursos Naturales,"Planeacion, Direccion y  Evaluacion Ambiental","$1,014,192.00 ",1.08598,"$933,895.65 "
2013,16,Medio Ambiente y Recursos Naturales,Programa de Conservación para el Desarrollo Sostenible (PROCODES) (incluye acciones de mitigación),"$217,364,998.00 ",1.08598,"$200,155,618.00 "
2013,16,Medio Ambiente y Recursos Naturales,Programa de Tratamiento de Aguas Residuales,"$2,785,902,986.00 ",1.08598,"$2,565,335,444.00 "
2013,16,Medio Ambiente y Recursos Naturales,Prevencion y gestion integral de residuos,"$550,355,521.00 ",1.08598,"$506,782,372.60 "
2013,16,Medio Ambiente y Recursos Naturales,Fomento para la Conservacion y Aprovechamiento Sustentable de la Vida Silvestre,"$162,106,585.00 ",1.08598,"$149,272,164.30 "
2013,16,Medio Ambiente y Recursos Naturales,Programa de Vigilancia Comunitaria en Areas Naturales Protegidas y Zonas de Influencia,"$20,700,000.00 ",1.08598,"$19,061,124.51 "
2013,16,Medio Ambiente y Recursos Naturales,Programa de Recuperación y Repoblación de Especies en Peligro de Extinción,"$109,522,000.00 ",1.08598,"$100,850,844.40 "
2013,16,Medio Ambiente y Recursos Naturales,ProÁrbol.-Desarrollo Forestal,"$2,530,000,000.00 ",1.08598,"$2,329,692,996.00 "
