Year,Total_Population,Men_pop,Women_Pop,Total_Births,Men_births,Women_births,Death_rate,Men_DeathRate,Women_DeathRate,Marriage index,Divorce_rate
2000,98785000.0,48558034.0,50341811.0,2798339.0,1398877.0,1398703.0,437667.0,244302.0,193253.0,707422.0,52358.0
2001,100105000.0,49208752.0,51089400.0,2767610.0,1390066.0,1377151.0,443127.0,245998.0,196789.0,665434.0,57370.0
2002,101494000.0,49841883.0,51842881.0,2699084.0,1345504.0,1350142.0,459687.0,255522.0,203846.0,616654.0,60641.0
2003,102890000.0,50475626.0,52605394.0,2655894.0,1307080.0,1348354.0,472140.0,261680.0,210096.0,584142.0,64248.0
2004,104272000.0,51134956.0,53379978.0,2625056.0,1302411.0,1322074.0,473417.0,261919.0,211294.0,600563.0,67575.0
2005,105669000.0,51836847.0,54168352.0,2567906.0,1284304.0,1283009.0,495240.0,273126.0,221968.0,595713.0,70184.0
2006,107155000.0,52588297.0,54971858.0,2505939.0,1254600.0,1250937.0,494471.0,274091.0,220240.0,586978.0,72396.0
2007,108745000.0,53381477.0,55789026.0,2655083.0,1330390.0,1324087.0,514420.0,284910.0,229336.0,595209.0,77255.0
2008,110405000.0,54200255.0,56615017.0,2636110.0,1320177.0,1315435.0,539530.0,300837.0,238523.0,589352.0,81851.0
2009,112095000.0,55020935.0,57442951.0,2577214.0,1296770.0,1279883.0,564673.0,316058.0,248371.0,558913.0,84302.0
2010,113749000.0,55825784.0,58267177.0,2643908.0,1326612.0,1317023.0,592018.0,332027.0,259669.0,568632.0,86042.0
2011,115367000.0,56609424.0,59086044.0,2586287.0,1300026.0,1285962.0,590693.0,332646.0,257468.0,570954.0,91285.0
2012,116936000.0,57375324.0,59898832.0,2498880.0,1262938.0,1235719.0,602354.0,338377.0,263440.0,585434.0,99509.0
2013,118454000.0,58125266.0,60701892.0,2478889.0,1255206.0,1223530.0,623599.0,347981.0,275231.0,583264.0,108727.0
2014,119936000.0,58863834.0,61491303.0,2463420.0,1247657.0,1215628.0,633641.0,352037.0,281279.0,577713.0,113478.0
2015,121348000.0,59594171.0,62264080.0,2353596.0,1192795.0,1160760.0,655688.0,363732.0,291637.0,558022.0,123883.0
2016,122715000.0,60315359.0,63018020.0,2293708.0,1162171.0,1131493.0,685766.0,382745.0,302599.0,543749.0,139807.0
2017,124042000.0,61024503.0,63752823.0,2234039.0,1134349.0,1099674.0,703047.0,394322.0,308281.0,528678.0,147581.0
2018,125328000.0,61720819.0,64469963.0,2162535.0,1098674.0,1063826.0,722611.0,407736.0,314499.0,501298.0,156556.0
2019,126578000.0,62403393.0,65172136.0,2092214.0,1061978.0,1030194.0,747784.0,422185.0,325126.0,504923.0,160107.0
2020,127792000.0,63071486.0,65861267.0,1629211.0,828944.0,800264.0,1086743.0,639277.0,446709.0,335563.0,92739.0
2021,130262220.0,63724708.0,66537512.0,1912178.0,,,1122249.0,,,453085.0,149675.0
