emisora,dia_calendario,precio_apertura,precio_maximo,precio_minimo,precio_cierre,cambio_pesos
AC*,2026-02-03,197.03,207.67,196.94,207.67,10.639999999999986
AC*,2026-02-04,207.67,208.92,203.27,204.77,-2.8999999999999773
AC*,2026-02-05,205.76,208.2,203.77,205.04,-0.7199999999999989
AC*,2026-02-06,205.46,208.3,203.6,206.47,1.009999999999991
AC*,2026-02-09,205.5,206.24,204.2,205.1,-0.4000000000000057
AC*,2026-02-10,205.49,206.4,203.93,205.06,-0.4300000000000068
AC*,2026-02-11,205.65,206.21,204.33,204.64,-1.0100000000000193
AC*,2026-02-12,204.0,210.0,204.0,207.0,3.0
AC*,2026-02-13,206.89,210.75,204.95,210.5,3.6100000000000136
AC*,2026-02-16,210.5,210.5,205.02,209.7,-0.8000000000000114
AC*,2026-02-17,210.99,212.96,209.04,212.12,1.1299999999999955
AC*,2026-02-18,211.49,212.07,207.85,208.46,-3.030000000000001
AC*,2026-02-19,208.46,212.94,208.46,210.09,1.6299999999999955
AC*,2026-02-20,210.47,211.48,208.57,210.73,0.2599999999999909
AC*,2026-02-23,210.73,210.73,205.62,206.44,-4.289999999999992
AC*,2026-02-24,205.91,208.6,204.3,205.75,-0.1599999999999966
AC*,2026-02-25,205.36,207.2,204.38,205.3,-0.060000000000002274
AC*,2026-02-26,205.3,211.14,205.05,210.91,5.609999999999985
AC*,2026-02-27,207.89,210.66,206.14,207.9,0.010000000000019327
AC*,2026-03-02,205.8,207.28,203.7,205.94,0.13999999999998636
AC*,2026-03-03,205.94,205.94,197.36,202.12,-3.819999999999993
AC*,2026-03-04,202.12,206.99,198.7,206.99,4.8700000000000045
AC*,2026-03-05,206.99,209.6,204.64,205.37,-1.6200000000000045
AC*,2026-03-06,205.37,209.57,203.09,207.01,1.6399999999999864
AC*,2026-03-09,204.51,206.81,202.58,203.94,-0.5699999999999932
AC*,2026-03-10,203.49,203.49,198.11,199.63,-3.8600000000000136
AC*,2026-03-11,202.31,204.4,199.12,203.78,1.4699999999999989
ALSEA*,2026-02-03,53.63,54.18,52.07,52.95,-0.6799999999999997
ALSEA*,2026-02-04,52.95,54.4,52.4,53.76,0.8099999999999952
ALSEA*,2026-02-05,54.42,55.05,52.89,53.4,-1.0200000000000031
ALSEA*,2026-02-06,53.44,54.98,52.67,54.34,0.9000000000000057
ALSEA*,2026-02-09,54.66,55.6,54.31,55.14,0.480000000000004
ALSEA*,2026-02-10,55.56,56.5,55.01,55.89,0.3299999999999983
ALSEA*,2026-02-11,55.66,55.87,54.77,55.29,-0.36999999999999744
ALSEA*,2026-02-12,55.29,56.53,54.98,55.14,-0.14999999999999858
ALSEA*,2026-02-13,55.25,57.1,54.82,56.97,1.7199999999999989
ALSEA*,2026-02-16,56.69,56.85,56.06,56.44,-0.25
ALSEA*,2026-02-17,56.41,58.0,56.08,57.97,1.5600000000000023
ALSEA*,2026-02-18,57.94,58.6,57.71,58.56,0.6200000000000045
ALSEA*,2026-02-19,58.56,61.41,58.45,61.24,2.6799999999999997
ALSEA*,2026-02-20,61.16,61.39,60.4,61.17,0.010000000000005116
ALSEA*,2026-02-23,61.17,61.28,59.58,60.85,-0.3200000000000003
ALSEA*,2026-02-24,60.85,61.14,60.04,61.14,0.28999999999999915
ALSEA*,2026-02-25,60.65,61.0,59.17,59.82,-0.8299999999999983
ALSEA*,2026-02-26,59.82,60.66,59.82,60.47,0.6499999999999986
ALSEA*,2026-02-27,60.4,60.85,59.57,60.83,0.4299999999999997
ALSEA*,2026-03-02,60.23,60.75,59.73,60.0,-0.22999999999999687
ALSEA*,2026-03-03,60.0,60.11,56.83,58.58,-1.4200000000000017
