Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
05/07/2010,12:22:22,3.2,19.2,-98.95,5,"3 km al SURESTE de S ANDRES MIXQUIC, CDMX",05/07/2010,17:22:22,revisado
21/10/2012,04:34:19,3.5,19.1153,-99.2518,5,"12 km al SUROESTE de S MIGUEL AJUSCO, CDMX",21/10/2012,09:34:19,revisado
18/01/2013,22:47:44,2.9,19.3525,-99.1687,10.4,"1 km al NOROESTE de COYOACAN, CDMX",19/01/2013,04:47:44,revisado
10/05/2013,15:45:28,1.8,19.2933,-99.2935,1.6,"5 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",10/05/2013,20:45:28,revisado
15/06/2013,19:21:12,2.7,19.3855,-99.1425,8.5,"2 km al SURESTE de BENITO JUAREZ, CDMX",16/06/2013,00:21:12,revisado
15/06/2013,20:14:25,2.9,19.39,-99.1392,3,"2 km al SURESTE de BENITO JUAREZ, CDMX",16/06/2013,01:14:25,revisado
16/06/2013,12:10:18,2.9,19.3918,-99.0988,1,"menos de 1 km al SUROESTE de IZTACALCO, CDMX",16/06/2013,17:10:18,revisado
16/06/2013,13:00:59,2.4,19.2992,-99.173,4,"4 km al NOROESTE de XOCHIMILCO, CDMX",16/06/2013,18:00:59,revisado
16/06/2013,13:15:22,2.7,19.3467,-99.1317,1,"3 km al ESTE de COYOACAN, CDMX",16/06/2013,18:15:22,revisado
17/06/2013,12:19:28,2.3,19.356,-99.1258,1,"3 km al OESTE de IZTAPALAPA, CDMX",17/06/2013,17:19:28,revisado
17/06/2013,12:20:08,2.9,19.3695,-99.0872,1,"1 km al NORESTE de IZTAPALAPA, CDMX",17/06/2013,17:20:08,revisado
17/06/2013,13:41:53,2.1,19.3708,-99.12,1.7,"3 km al NOROESTE de IZTAPALAPA, CDMX",17/06/2013,18:41:53,revisado
18/06/2013,18:53:07,2.7,19.3638,-99.1188,5,"3 km al OESTE de IZTAPALAPA, CDMX",18/06/2013,23:53:07,revisado
25/08/2013,05:23:30,2.2,19.3197,-99.097,4,"4 km al SUR de IZTAPALAPA, CDMX",25/08/2013,10:23:30,revisado
25/08/2013,10:47:04,2.3,19.3115,-99.1022,1.1,"5 km al OESTE de TLAHUAC, CDMX",25/08/2013,15:47:04,revisado
25/08/2013,15:35:01,2.1,19.353,-99.1213,5,"3 km al OESTE de IZTAPALAPA, CDMX",25/08/2013,20:35:01,revisado
25/08/2013,15:43:41,2.3,19.3725,-99.0995,9.5,"2 km al NOROESTE de IZTAPALAPA, CDMX",25/08/2013,20:43:41,revisado
25/08/2013,16:03:44,2.2,19.3507,-99.196,2,"3 km al NORESTE de LA MAGDALENA C, CDMX",25/08/2013,21:03:44,revisado
01/12/2013,12:04:38,2.2,19.3755,-99.1875,5.6,"3 km al SURESTE de V ALVARO OBREGON, CDMX",01/12/2013,18:04:38,revisado
02/12/2013,04:09:15,2,19.3385,-99.1945,1.5,"2 km al NORESTE de LA MAGDALENA C, CDMX",02/12/2013,10:09:15,revisado
19/07/2014,06:57:21,2.9,19.1497,-98.9523,4.3,"8 km al SUR de S ANDRES MIXQUIC, CDMX",19/07/2014,11:57:21,revisado
03/08/2014,09:02:08,1.9,19.3173,-99.249,3,"3 km al NOROESTE de TLALPAN, CDMX",03/08/2014,14:02:08,revisado
24/08/2014,06:32:25,2.6,19.2528,-99.1095,3.7,"4 km al SURESTE de XOCHIMILCO, CDMX",24/08/2014,11:32:25,revisado
05/09/2014,19:26:28,2.1,19.443,-99.0585,9.3,"7 km al NORESTE de VENUSTIANO CARRANZA, CDMX",06/09/2014,00:26:28,revisado
29/09/2014,02:05:55,2.1,19.3772,-99.2607,3,"3 km al ESTE de CUAJIMALPA, CDMX",29/09/2014,07:05:55,revisado
06/10/2014,21:54:56,2.2,19.2253,-99.0972,3.2,"4 km al NORTE de S SALVADOR CUAUHTENCO, CDMX",07/10/2014,02:54:56,revisado
06/10/2014,22:04:11,2.4,19.2295,-99.0892,3,"4 km al NORTE de S SALVADOR CUAUHTENCO, CDMX",07/10/2014,03:04:11,revisado
28/11/2014,13:10:35,2,19.3753,-99.2245,8,"4 km al SUROESTE de V ALVARO OBREGON, CDMX",28/11/2014,19:10:35,revisado
01/12/2014,02:50:06,3.4,19.353,-99.2158,2,"2 km al NORTE de LA MAGDALENA C, CDMX",01/12/2014,08:50:06,revisado
01/12/2014,03:12:16,2.1,19.3548,-99.2268,3.9,"3 km al NOROESTE de LA MAGDALENA C, CDMX",01/12/2014,09:12:16,revisado
