country,region,gdp_2025_bn_usd,exports_to_us_2024_bn_usd,exports_to_china_2024_bn_usd,trade_openness_pct_gdp,us_tariff_rate_peak_2025_pct,retaliation_capacity_score,supply_chain_integration_score,trade_diversion_position,wto_dispute_filed,us_framework_status,trade_disruption_score,disruption_category,as_of_date
China,East Asia,18100,437.0,0.0,37.8,145,9.5,9.0,Loser (US) / Winner (RoW),Yes,Truce,9.5,Critical,2026-03-31
Vietnam,Southeast Asia,430,114.0,18.0,89.5,46,3.0,7.5,Winner (so far),No,Under Review,7.2,High,2026-03-31
Bangladesh,South Asia,460,8.0,1.5,29.6,37,1.0,6.0,Loser,No,N/A,7.8,High,2026-03-31
Mexico,North America,1480,475.0,18.0,78.0,25,5.5,8.5,Moderate Loser,No,Negotiating,7.5,High,2026-03-31
Canada,North America,2145,436.0,30.0,65.8,25,7.0,8.5,Moderate Loser,Yes,Negotiating,7.5,High,2026-03-31
EU,Europe,18700,502.0,512.0,51.2,30,8.0,7.5,Moderate Loser,Yes,Framework,7.2,High,2026-03-31
South Korea,East Asia,1710,115.0,165.0,81.5,25,5.5,7.0,Moderate,Yes,Framework,5.5,Moderate,2026-03-31
Japan,East Asia,4210,138.0,180.0,39.0,24,5.5,6.5,Moderate Loser,Yes,Framework,5.0,Moderate,2026-03-31
India,South Asia,3750,87.0,125.0,22.0,26,5.0,5.0,Mixed,No,N/A,5.5,Moderate,2026-03-31
Taiwan,East Asia,760,80.0,130.0,110.0,32,4.0,8.0,Mixed,No,Under Review,6.5,High,2026-03-31
Malaysia,Southeast Asia,440,48.0,75.0,131.0,24,3.0,7.5,Winner (so far),No,Under Review,5.8,Moderate,2026-03-31
Thailand,Southeast Asia,520,45.0,55.0,75.0,36,3.0,7.0,Mixed Winner,No,Under Review,5.5,Moderate,2026-03-31
Pakistan,South Asia,350,5.5,20.0,25.8,29,1.5,5.5,Loser,No,N/A,6.2,High,2026-03-31
Cambodia,Southeast Asia,32,8.5,4.0,115.0,49,1.0,6.5,Loser,No,Under Review,7.5,High,2026-03-31
Sri Lanka,South Asia,84,3.2,3.5,52.0,44,1.0,5.5,Loser,No,N/A,7.0,High,2026-03-31
Brazil,Latin America,2100,37.0,137.0,28.0,10,5.0,4.5,Winner (agri),No,N/A,3.5,Low,2026-03-31
Australia,Oceania,1720,16.0,215.0,45.0,10,4.5,4.0,Cautious Winner,No,N/A,2.5,Low,2026-03-31
United Kingdom,Europe,3070,68.0,45.0,62.5,25,5.0,5.5,Mild Loser,No,Framework,4.0,Moderate,2026-03-31
Indonesia,Southeast Asia,1420,24.0,75.0,41.0,32,3.0,6.0,Mixed,No,Under Review,5.0,Moderate,2026-03-31
Saudi Arabia,Middle East,1100,11.0,90.0,72.0,10,4.0,3.0,Stable,No,N/A,2.5,Low,2026-03-31
Turkey,Europe/Asia,1120,12.0,35.0,58.0,10,4.5,5.0,Mixed,No,N/A,4.0,Moderate,2026-03-31
Russia,Eastern Europe,1980,1.5,108.0,47.0,35,4.0,2.0,Isolated,No,Sanctioned,8.5,Critical,2026-03-31
Argentina,Latin America,620,8.0,18.0,30.0,10,2.0,3.5,Stable,No,N/A,2.8,Low,2026-03-31
South Africa,Africa,410,9.5,15.0,60.0,10,3.0,4.0,Stable,No,N/A,3.0,Low,2026-03-31
Nigeria,Africa,480,5.0,22.0,27.0,10,2.0,3.5,Stable,No,N/A,3.0,Low,2026-03-31
Ethiopia,Africa,155,0.8,8.0,18.0,10,1.5,3.0,Stable,No,N/A,2.8,Low,2026-03-31
Switzerland,Europe,870,33.0,25.0,115.0,31,4.0,4.5,Mild Loser,No,Framework,3.5,Low,2026-03-31
New Zealand,Oceania,255,4.5,14.0,58.0,10,3.0,3.0,Stable,No,N/A,2.0,Low,2026-03-31
Singapore,Southeast Asia,530,34.0,55.0,310.0,10,3.5,5.0,Hub at Risk,No,Under Review,4.5,Moderate,2026-03-31
Norway,Europe,590,6.0,12.0,75.0,15,4.0,3.5,Mild,No,Under Review,3.5,Low,2026-03-31
